geophysical_review_rank,review_tier,candidate_id,name,lon,lat,diameter_km,followup_score,rank,data_quality,domain,tid_artifact_risk,tid_direct_fraction,gravity_bouguer_ring_score,gravity_freeair_ring_score,gravity_consensus_percentile,magnetic_ring_score,magnetic_ring_score_stratified_percentile,sediment_ring_score,geology_independence,geology_boundary_coincidence,geology_boundary_crossings,geology_nearby_types
68,C_morphology,arc_0783,#777,135.49460998737268,-1.5787316875518698,240.45278308525195,0.7600592644062624,62.0,1.0,ocean,0.1708736283327512,0.0814361080621747,0.2979560728447792,0.275632285907432,0.26119402985074625,0.3649049928149676,0.8208955223880597,0.3375085334392074,1.0,0.0,0.0,
69,C_morphology,arc_0428,#422,20.58099032618161,42.58307129637104,66.55628181220168,0.7599380420208898,63.0,1.0,land,0.0,0.0,0.3925282432863782,0.3732423669344756,0.6991150442477876,0.4296005733609083,0.8053097345132744,,1.0,0.0,0.0,
70,C_morphology,arc_0654,#637,29.90697186588166,-59.47623497477038,143.3211702429019,0.7597537035409718,64.0,1.0,ocean,0.2585433775450123,0.1263017536752916,0.3274174670316031,0.3663757676695744,0.4387755102040816,0.2936373344269924,0.3877551020408163,0.3811557792853912,1.0,0.0,0.0,
71,C_morphology,arc_1126,#1122,161.03470545341463,-31.384123499543573,681.6553979002705,0.759575235412161,65.0,1.0,ocean,0.3750782405999226,0.2315057589661953,0.4123923280374283,0.3852315799731876,0.5897435897435898,0.3126439080953452,0.4358974358974359,0.212271136810091,0.8366488932305682,0.1633511067694317,6.0,continental back-arc basin;oceanic crust;wide rift
72,C_morphology,arc_0513,#507,-47.717974230135106,49.6470335208736,370.1841164196948,0.7582632577128086,68.0,1.0,ocean,0.5297132855554181,0.6603157813265912,0.3587076730827287,0.5550638783536614,0.7117647058823529,0.2844100315035068,0.29411764705882354,0.2900084470040754,0.7211267271634347,0.2788732728365653,11.0,oceanic crust;passive margin;volcanic arc
73,C_morphology,arc_1235,NULL#1235,-58.35839219262491,-8.813879588079054,26.73495119711741,0.7582378603227209,69.0,1.0,land,0.0,0.0,0.0482864486177211,0.0454518448742166,0.3306451612903226,0.0439604245858081,0.3629032258064516,,1.0,0.0,0.0,
74,C_morphology,arc_0847,#845,84.54794585205586,63.42157858844396,22.46220197136697,0.7580538247357588,70.0,1.0,land,0.0,0.0,0.083267293740505,0.039735987440467,0.44758064516129037,0.1285089767833305,0.8951612903225806,,1.0,0.0,0.0,
75,C_morphology,arc_0136,#137,33.656985810692184,21.697600087532113,94.66257755748418,0.7557620387260953,71.0,1.0,land,0.0,0.0,0.2466427898227052,0.3214356068423769,0.1989795918367347,0.2896202906931275,0.25510204081632654,,1.0,0.0,0.0,
76,C_morphology,arc_1093,#1090,-2.2279997559575677,52.24188150597715,43.13506102324559,0.7549679021313546,73.0,1.0,land,0.0,0.0,0.2989859366515449,0.1424940390257318,0.562992125984252,0.2010234847298425,0.6692913385826772,,1.0,0.0,0.0,
77,C_morphology,arc_0002,Pilanesberg,27.079880134728885,-25.250101914362133,26.075430113525837,0.7543420420129167,74.0,1.0,land,0.0,0.0,0.1252731624319557,0.0783333310573427,0.6693548387096775,0.1051536388793922,0.8064516129032258,,1.0,0.0,0.0,
